Quantity,Material,Grade,Stock Length (in),Cost per Stock Length (USD),Weight (lbs/ft),Total Length (ft),Total Weight (lb),Cost Per lb (USD),Total Cost
1,L6x6x1/2 Angle,ASTM A36,240,160,6.0,20.0,120.0,1.3333333333333333,160
14,W6x12 Wide Flange Beam,ASTM A500 Grade C,480,600,12.0,560.0,6720.0,1.25,8400
34,C12x20 Channel,ASTM A36,240,200,20.0,680.0,13600.0,0.5,6800
29,C10x15.3 Channel,ASTM A572 Grade 60,240,270,15.3,580.0,8874.0,0.8823529411764706,7830
7,C4x7.5 Channel,ASTM A572 Grade 60,120,90,7.5,70.0,525.0,1.2,630
33,HSS5x5x1/4 Hollow Structural Section,ASTM A588,120,180,5.0,330.0,1650.0,3.6,5940
49,C4x7.5 Channel,ASTM A588,480,300,7.5,1960.0,14700.0,1.0,14700
5,W14x30 Wide Flange Beam,ASTM A500 Grade C,240,650,30.0,100.0,3000.0,1.0833333333333333,3250
2,L8x8x3/8 Angle,ASTM A588,240,190,8.0,40.0,320.0,1.1875,380
6,C10x15.3 Channel,ASTM A992,480,500,15.3,240.0,3672.0,0.8169934640522876,3000
13,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,480,540,4.0,520.0,2080.0,3.375,7020
22,L4x4x1/4 Angle,ASTM A709 Grade 50,120,60,4.0,220.0,880.0,1.5,1320
50,C10x15.3 Channel,ASTM A500 Grade B,120,150,15.3,500.0,7650.0,0.9803921568627451,7500
48,W10x30 Wide Flange Beam,ASTM A709 Grade 50,240,750,30.0,960.0,28800.0,1.25,36000
46,W10x22 Wide Flange Beam,ASTM A572 Grade 50,480,800,22.0,1840.0,40480.0,0.9090909090909091,36800
45,W10x30 Wide Flange Beam,ASTM A709 Grade 50,480,1400,30.0,1800.0,54000.0,1.1666666666666667,63000
41,W10x30 Wide Flange Beam,ASTM A709 Grade 50,120,400,30.0,410.0,12300.0,1.3333333333333333,16400
39,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,480,540,4.0,1560.0,6240.0,3.375,21060
7,HSS5x5x1/4 Hollow Structural Section,ASTM A992,480,650,5.0,280.0,1400.0,3.25,4550
40,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,240,280,4.0,800.0,3200.0,3.5,11200
50,C10x15.3 Channel,ASTM A36,120,150,15.3,500.0,7650.0,0.9803921568627451,7500
8,C8x11.5 Channel,ASTM A572 Grade 50,240,220,11.5,160.0,1840.0,0.9565217391304348,1760
7,W14x30 Wide Flange Beam,ASTM A36,120,350,30.0,70.0,2100.0,1.1666666666666667,2450
47,C8x11.5 Channel,ASTM A500 Grade B,480,400,11.5,1880.0,21620.0,0.8695652173913043,18800
27,W6x12 Wide Flange Beam,ASTM A500 Grade C,480,600,12.0,1080.0,12960.0,1.25,16200
28,HSS8x8x1/2 Hollow Structural Section,ASTM A36,240,550,8.0,560.0,4480.0,3.4375,15400
16,W14x30 Wide Flange Beam,ASTM A572 Grade 50,240,650,30.0,320.0,9600.0,1.0833333333333333,10400
42,C10x25 Channel,ASTM A588,120,130,25.0,420.0,10500.0,0.52,5460
11,W8x18 Wide Flange Beam,ASTM A500 Grade C,120,200,18.0,110.0,1980.0,1.1111111111111112,2200
6,C8x18 Channel,ASTM A572 Grade 50,480,400,18.0,240.0,4320.0,0.5555555555555556,2400
41,L3x3x1/4 Angle,ASTM A572 Grade 50,240,80,3.0,820.0,2460.0,1.3333333333333333,3280
9,L4x4x1/4 Angle,ASTM A588,480,240,4.0,360.0,1440.0,1.5,2160
13,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,120,150,4.0,130.0,520.0,3.75,1950
29,L8x8x3/8 Angle,ASTM A572 Grade 50,240,190,8.0,580.0,4640.0,1.1875,5510
2,HSS8x8x1/2 Hollow Structural Section,ASTM A36,120,300,8.0,20.0,160.0,3.75,600
39,W12x50 Wide Flange Beam,ASTM A500 Grade C,240,650,50.0,780.0,39000.0,0.65,25350
22,L8x8x3/8 Angle,ASTM A36,240,190,8.0,440.0,3520.0,1.1875,4180
41,HSS8x8x1/2 Hollow Structural Section,ASTM A992,120,300,8.0,410.0,3280.0,3.75,12300
18,W14x30 Wide Flange Beam,ASTM A572 Grade 60,120,350,30.0,180.0,5400.0,1.1666666666666667,6300
38,W8x18 Wide Flange Beam,ASTM A500 Grade C,240,350,18.0,760.0,13680.0,0.9722222222222222,13300
17,W10x30 Wide Flange Beam,ASTM A992,240,750,30.0,340.0,10200.0,1.25,12750
35,W12x50 Wide Flange Beam,ASTM A992,120,350,50.0,350.0,17500.0,0.7,12250
7,C4x7.5 Channel,ASTM A36,120,90,7.5,70.0,525.0,1.2,630
1,W6x12 Wide Flange Beam,ASTM A709 Grade 50,120,180,12.0,10.0,120.0,1.5,180
37,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,240,380,6.0,740.0,4440.0,3.1666666666666665,14060
42,C10x15.3 Channel,ASTM A572 Grade 60,120,150,15.3,420.0,6426.0,0.9803921568627451,6300
28,L3x3x1/4 Angle,ASTM A572 Grade 60,480,160,3.0,1120.0,3360.0,1.3333333333333333,4480
23,W10x22 Wide Flange Beam,ASTM A36,480,800,22.0,920.0,20240.0,0.9090909090909091,18400
3,C10x25 Channel,ASTM A500 Grade B,120,130,25.0,30.0,750.0,0.52,390
47,W12x50 Wide Flange Beam,ASTM A992,240,650,50.0,940.0,47000.0,0.65,30550
3,C8x18 Channel,ASTM A992,480,400,18.0,120.0,2160.0,0.5555555555555556,1200
26,W12x50 Wide Flange Beam,ASTM A572 Grade 60,480,1200,50.0,1040.0,52000.0,0.6,31200
10,C8x11.5 Channel,ASTM A500 Grade B,480,400,11.5,400.0,4600.0,0.8695652173913043,4000
45,W12x50 Wide Flange Beam,ASTM A709 Grade 50,480,1200,50.0,1800.0,90000.0,0.6,54000
24,HSS5x5x1/4 Hollow Structural Section,ASTM A500 Grade B,480,650,5.0,960.0,4800.0,3.25,15600
16,L4x4x1/4 Angle,ASTM A36,240,120,4.0,320.0,1280.0,1.5,1920
29,W14x30 Wide Flange Beam,ASTM A709 Grade 50,480,1200,30.0,1160.0,34800.0,1.0,34800
41,HSS4x4x1/4 Hollow Structural Section,ASTM A992,240,280,4.0,820.0,3280.0,3.5,11480
50,W14x30 Wide Flange Beam,ASTM A588,240,650,30.0,1000.0,30000.0,1.0833333333333333,32500
37,HSS5x5x1/4 Hollow Structural Section,ASTM A572 Grade 50,120,180,5.0,370.0,1850.0,3.6,6660
24,W12x50 Wide Flange Beam,ASTM A709 Grade 50,480,1200,50.0,960.0,48000.0,0.6,28800
4,C4x7.5 Channel,ASTM A709 Grade 50,240,160,7.5,80.0,600.0,1.0666666666666667,640
14,W6x12 Wide Flange Beam,ASTM A992,240,320,12.0,280.0,3360.0,1.3333333333333333,4480
36,W14x30 Wide Flange Beam,ASTM A992,120,350,30.0,360.0,10800.0,1.1666666666666667,12600
32,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,120,150,4.0,320.0,1280.0,3.75,4800
20,HSS8x8x1/2 Hollow Structural Section,ASTM A709 Grade 50,120,300,8.0,200.0,1600.0,3.75,6000
37,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,240,280,4.0,740.0,2960.0,3.5,10360
2,L4x4x1/4 Angle,ASTM A500 Grade B,480,240,4.0,80.0,320.0,1.5,480
46,HSS5x5x1/4 Hollow Structural Section,ASTM A992,120,180,5.0,460.0,2300.0,3.6,8280
1,C8x11.5 Channel,ASTM A36,240,220,11.5,20.0,230.0,0.9565217391304348,220
6,W12x50 Wide Flange Beam,ASTM A572 Grade 60,120,350,50.0,60.0,3000.0,0.7,2100
23,C12x20 Channel,ASTM A500 Grade B,240,200,20.0,460.0,9200.0,0.5,4600
48,W14x30 Wide Flange Beam,ASTM A572 Grade 50,240,650,30.0,960.0,28800.0,1.0833333333333333,31200
37,L3x3x1/4 Angle,ASTM A36,480,160,3.0,1480.0,4440.0,1.3333333333333333,5920
33,W8x18 Wide Flange Beam,ASTM A572 Grade 50,240,350,18.0,660.0,11880.0,0.9722222222222222,11550
3,C4x7.5 Channel,ASTM A500 Grade B,480,300,7.5,120.0,900.0,1.0,900
36,W8x18 Wide Flange Beam,ASTM A588,480,650,18.0,1440.0,25920.0,0.9027777777777778,23400
23,L8x8x3/8 Angle,ASTM A992,480,380,8.0,920.0,7360.0,1.1875,8740
11,L4x4x1/4 Angle,ASTM A500 Grade C,240,120,4.0,220.0,880.0,1.5,1320
36,W14x30 Wide Flange Beam,ASTM A36,120,350,30.0,360.0,10800.0,1.1666666666666667,12600
20,W8x18 Wide Flange Beam,ASTM A572 Grade 60,120,200,18.0,200.0,3600.0,1.1111111111111112,4000
41,L4x4x1/4 Angle,ASTM A500 Grade B,120,60,4.0,410.0,1640.0,1.5,2460
31,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 50,480,1000,8.0,1240.0,9920.0,3.125,31000
29,C4x7.5 Channel,ASTM A572 Grade 50,120,90,7.5,290.0,2175.0,1.2,2610
39,L8x8x3/8 Angle,ASTM A992,120,100,8.0,390.0,3120.0,1.25,3900
36,W10x22 Wide Flange Beam,ASTM A500 Grade C,480,800,22.0,1440.0,31680.0,0.9090909090909091,28800
18,W10x22 Wide Flange Beam,ASTM A588,240,450,22.0,360.0,7920.0,1.0227272727272727,8100
47,HSS6x6x3/8 Hollow Structural Section,ASTM A36,240,380,6.0,940.0,5640.0,3.1666666666666665,17860
29,C8x11.5 Channel,ASTM A992,120,120,11.5,290.0,3335.0,1.0434782608695652,3480
13,W14x30 Wide Flange Beam,ASTM A572 Grade 50,120,350,30.0,130.0,3900.0,1.1666666666666667,4550
38,HSS8x8x1/2 Hollow Structural Section,ASTM A500 Grade B,480,1000,8.0,1520.0,12160.0,3.125,38000
20,C8x11.5 Channel,ASTM A709 Grade 50,480,400,11.5,800.0,9200.0,0.8695652173913043,8000
45,C8x11.5 Channel,ASTM A500 Grade B,120,120,11.5,450.0,5175.0,1.0434782608695652,5400
16,HSS5x5x1/4 Hollow Structural Section,ASTM A992,120,180,5.0,160.0,800.0,3.6,2880
21,L8x8x3/8 Angle,ASTM A572 Grade 50,240,190,8.0,420.0,3360.0,1.1875,3990
38,W12x50 Wide Flange Beam,ASTM A36,480,1200,50.0,1520.0,76000.0,0.6,45600
32,C10x25 Channel,ASTM A992,240,250,25.0,640.0,16000.0,0.5,8000
18,W10x22 Wide Flange Beam,ASTM A588,240,450,22.0,360.0,7920.0,1.0227272727272727,8100
22,W10x30 Wide Flange Beam,ASTM A992,120,400,30.0,220.0,6600.0,1.3333333333333333,8800
41,L3x3x1/4 Angle,ASTM A709 Grade 50,240,80,3.0,820.0,2460.0,1.3333333333333333,3280
47,C8x11.5 Channel,ASTM A709 Grade 50,120,120,11.5,470.0,5405.0,1.0434782608695652,5640
18,L6x6x1/2 Angle,ASTM A572 Grade 60,480,320,6.0,720.0,4320.0,1.3333333333333333,5760
43,L3x3x1/4 Angle,ASTM A572 Grade 60,240,80,3.0,860.0,2580.0,1.3333333333333333,3440
32,C8x18 Channel,ASTM A588,120,110,18.0,320.0,5760.0,0.6111111111111112,3520
8,C4x7.5 Channel,ASTM A709 Grade 50,240,160,7.5,160.0,1200.0,1.0666666666666667,1280
20,L4x4x1/4 Angle,ASTM A992,240,120,4.0,400.0,1600.0,1.5,2400
42,C8x11.5 Channel,ASTM A992,480,400,11.5,1680.0,19320.0,0.8695652173913043,16800
28,C8x11.5 Channel,ASTM A992,120,120,11.5,280.0,3220.0,1.0434782608695652,3360
15,W14x30 Wide Flange Beam,ASTM A500 Grade B,240,650,30.0,300.0,9000.0,1.0833333333333333,9750
28,C12x20 Channel,ASTM A572 Grade 50,240,200,20.0,560.0,11200.0,0.5,5600
43,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,240,380,6.0,860.0,5160.0,3.1666666666666665,16340
7,HSS8x8x1/2 Hollow Structural Section,ASTM A500 Grade C,480,1000,8.0,280.0,2240.0,3.125,7000
49,C8x11.5 Channel,ASTM A500 Grade C,480,400,11.5,1960.0,22540.0,0.8695652173913043,19600
31,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,240,280,4.0,620.0,2480.0,3.5,8680
41,C4x7.5 Channel,ASTM A572 Grade 50,240,160,7.5,820.0,6150.0,1.0666666666666667,6560
37,C8x11.5 Channel,ASTM A572 Grade 60,120,120,11.5,370.0,4255.0,1.0434782608695652,4440
16,L6x6x1/2 Angle,ASTM A500 Grade C,480,320,6.0,640.0,3840.0,1.3333333333333333,5120
42,C4x7.5 Channel,ASTM A500 Grade C,480,300,7.5,1680.0,12600.0,1.0,12600
15,C10x25 Channel,ASTM A572 Grade 50,240,250,25.0,300.0,7500.0,0.5,3750
39,HSS4x4x1/4 Hollow Structural Section,ASTM A992,120,150,4.0,390.0,1560.0,3.75,5850
26,C10x15.3 Channel,ASTM A36,480,500,15.3,1040.0,15912.0,0.8169934640522876,13000
37,W10x22 Wide Flange Beam,ASTM A36,240,450,22.0,740.0,16280.0,1.0227272727272727,16650
2,C12x20 Channel,ASTM A992,240,200,20.0,40.0,800.0,0.5,400
35,W14x30 Wide Flange Beam,ASTM A709 Grade 50,480,1200,30.0,1400.0,42000.0,1.0,42000
3,L3x3x1/4 Angle,ASTM A572 Grade 60,120,40,3.0,30.0,90.0,1.3333333333333333,120
30,L4x4x1/4 Angle,ASTM A572 Grade 50,480,240,4.0,1200.0,4800.0,1.5,7200
24,L6x6x1/2 Angle,ASTM A992,240,160,6.0,480.0,2880.0,1.3333333333333333,3840
22,L8x8x3/8 Angle,ASTM A500 Grade B,120,100,8.0,220.0,1760.0,1.25,2200
36,W10x30 Wide Flange Beam,ASTM A36,240,750,30.0,720.0,21600.0,1.25,27000
37,W12x50 Wide Flange Beam,ASTM A36,480,1200,50.0,1480.0,74000.0,0.6,44400
19,W12x50 Wide Flange Beam,ASTM A588,120,350,50.0,190.0,9500.0,0.7,6650
4,L6x6x1/2 Angle,ASTM A572 Grade 60,240,160,6.0,80.0,480.0,1.3333333333333333,640
22,C12x20 Channel,ASTM A709 Grade 50,120,100,20.0,220.0,4400.0,0.5,2200
23,C8x11.5 Channel,ASTM A588,120,120,11.5,230.0,2645.0,1.0434782608695652,2760
16,W6x12 Wide Flange Beam,ASTM A709 Grade 50,480,600,12.0,640.0,7680.0,1.25,9600
45,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 60,480,1000,8.0,1800.0,14400.0,3.125,45000
26,C8x18 Channel,ASTM A709 Grade 50,480,400,18.0,1040.0,18720.0,0.5555555555555556,10400
50,C10x25 Channel,ASTM A36,120,130,25.0,500.0,12500.0,0.52,6500
14,L6x6x1/2 Angle,ASTM A36,120,80,6.0,140.0,840.0,1.3333333333333333,1120
33,L6x6x1/2 Angle,ASTM A36,120,80,6.0,330.0,1980.0,1.3333333333333333,2640
13,C10x15.3 Channel,ASTM A588,480,500,15.3,520.0,7956.0,0.8169934640522876,6500
41,C8x11.5 Channel,ASTM A500 Grade C,240,220,11.5,820.0,9430.0,0.9565217391304348,9020
3,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 60,240,550,8.0,60.0,480.0,3.4375,1650
18,W8x18 Wide Flange Beam,ASTM A36,240,350,18.0,360.0,6480.0,0.9722222222222222,6300
44,W10x30 Wide Flange Beam,ASTM A36,480,1400,30.0,1760.0,52800.0,1.1666666666666667,61600
38,L3x3x1/4 Angle,ASTM A992,480,160,3.0,1520.0,4560.0,1.3333333333333333,6080
37,W10x30 Wide Flange Beam,ASTM A572 Grade 50,120,400,30.0,370.0,11100.0,1.3333333333333333,14800
38,L4x4x1/4 Angle,ASTM A500 Grade C,240,120,4.0,760.0,3040.0,1.5,4560
6,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 50,480,1000,8.0,240.0,1920.0,3.125,6000
44,HSS8x8x1/2 Hollow Structural Section,ASTM A572 Grade 50,480,1000,8.0,1760.0,14080.0,3.125,44000
20,C8x11.5 Channel,ASTM A500 Grade B,120,120,11.5,200.0,2300.0,1.0434782608695652,2400
7,L8x8x3/8 Angle,ASTM A36,480,380,8.0,280.0,2240.0,1.1875,2660
29,W14x30 Wide Flange Beam,ASTM A500 Grade B,480,1200,30.0,1160.0,34800.0,1.0,34800
4,C12x20 Channel,ASTM A572 Grade 60,120,100,20.0,40.0,800.0,0.5,400
14,C12x20 Channel,ASTM A572 Grade 50,120,100,20.0,140.0,2800.0,0.5,1400
38,C8x18 Channel,ASTM A500 Grade B,240,210,18.0,760.0,13680.0,0.5833333333333334,7980
47,C10x15.3 Channel,ASTM A572 Grade 50,240,270,15.3,940.0,14382.0,0.8823529411764706,12690
14,L8x8x3/8 Angle,ASTM A36,480,380,8.0,560.0,4480.0,1.1875,5320
34,L6x6x1/2 Angle,ASTM A588,120,80,6.0,340.0,2040.0,1.3333333333333333,2720
6,C12x20 Channel,ASTM A500 Grade B,480,380,20.0,240.0,4800.0,0.475,2280
50,C8x18 Channel,ASTM A992,240,210,18.0,1000.0,18000.0,0.5833333333333334,10500
33,W10x30 Wide Flange Beam,ASTM A572 Grade 50,240,750,30.0,660.0,19800.0,1.25,24750
49,C8x11.5 Channel,ASTM A709 Grade 50,120,120,11.5,490.0,5635.0,1.0434782608695652,5880
49,W10x30 Wide Flange Beam,ASTM A500 Grade C,120,400,30.0,490.0,14700.0,1.3333333333333333,19600
45,W10x30 Wide Flange Beam,ASTM A36,240,750,30.0,900.0,27000.0,1.25,33750
4,C4x7.5 Channel,ASTM A572 Grade 60,240,160,7.5,80.0,600.0,1.0666666666666667,640
18,W14x30 Wide Flange Beam,ASTM A500 Grade C,240,650,30.0,360.0,10800.0,1.0833333333333333,11700
17,L6x6x1/2 Angle,ASTM A572 Grade 60,240,160,6.0,340.0,2040.0,1.3333333333333333,2720
4,W10x30 Wide Flange Beam,ASTM A709 Grade 50,120,400,30.0,40.0,1200.0,1.3333333333333333,1600
5,W10x30 Wide Flange Beam,ASTM A572 Grade 60,240,750,30.0,100.0,3000.0,1.25,3750
4,L6x6x1/2 Angle,ASTM A709 Grade 50,120,80,6.0,40.0,240.0,1.3333333333333333,320
28,C12x20 Channel,ASTM A992,120,100,20.0,280.0,5600.0,0.5,2800
42,L6x6x1/2 Angle,ASTM A500 Grade C,240,160,6.0,840.0,5040.0,1.3333333333333333,6720
31,W6x12 Wide Flange Beam,ASTM A588,240,320,12.0,620.0,7440.0,1.3333333333333333,9920
7,W10x22 Wide Flange Beam,ASTM A572 Grade 60,120,250,22.0,70.0,1540.0,1.1363636363636365,1750
37,C12x20 Channel,ASTM A992,240,200,20.0,740.0,14800.0,0.5,7400
24,L6x6x1/2 Angle,ASTM A588,480,320,6.0,960.0,5760.0,1.3333333333333333,7680
5,HSS5x5x1/4 Hollow Structural Section,ASTM A709 Grade 50,480,650,5.0,200.0,1000.0,3.25,3250
12,W8x18 Wide Flange Beam,ASTM A500 Grade C,240,350,18.0,240.0,4320.0,0.9722222222222222,4200
40,C10x25 Channel,ASTM A500 Grade C,120,130,25.0,400.0,10000.0,0.52,5200
22,L8x8x3/8 Angle,ASTM A572 Grade 50,240,190,8.0,440.0,3520.0,1.1875,4180
33,HSS5x5x1/4 Hollow Structural Section,ASTM A572 Grade 50,480,650,5.0,1320.0,6600.0,3.25,21450
41,W10x30 Wide Flange Beam,ASTM A588,240,750,30.0,820.0,24600.0,1.25,30750
21,W10x30 Wide Flange Beam,ASTM A572 Grade 50,480,1400,30.0,840.0,25200.0,1.1666666666666667,29400
29,C8x18 Channel,ASTM A572 Grade 60,120,110,18.0,290.0,5220.0,0.6111111111111112,3190
18,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 60,480,720,6.0,720.0,4320.0,3.0,12960
10,C4x7.5 Channel,ASTM A500 Grade C,240,160,7.5,200.0,1500.0,1.0666666666666667,1600
29,L4x4x1/4 Angle,ASTM A709 Grade 50,480,240,4.0,1160.0,4640.0,1.5,6960
44,C10x15.3 Channel,ASTM A992,120,150,15.3,440.0,6732.0,0.9803921568627451,6600
31,L6x6x1/2 Angle,ASTM A572 Grade 50,240,160,6.0,620.0,3720.0,1.3333333333333333,4960
49,L8x8x3/8 Angle,ASTM A588,120,100,8.0,490.0,3920.0,1.25,4900
46,C4x7.5 Channel,ASTM A992,240,160,7.5,920.0,6900.0,1.0666666666666667,7360
18,L3x3x1/4 Angle,ASTM A36,240,80,3.0,360.0,1080.0,1.3333333333333333,1440
38,W10x30 Wide Flange Beam,ASTM A572 Grade 60,480,1400,30.0,1520.0,45600.0,1.1666666666666667,53200
13,C8x11.5 Channel,ASTM A500 Grade C,480,400,11.5,520.0,5980.0,0.8695652173913043,5200
40,W8x18 Wide Flange Beam,ASTM A500 Grade B,120,200,18.0,400.0,7200.0,1.1111111111111112,8000
17,C10x25 Channel,ASTM A588,480,470,25.0,680.0,17000.0,0.47,7990
33,W10x30 Wide Flange Beam,ASTM A500 Grade C,480,1400,30.0,1320.0,39600.0,1.1666666666666667,46200
41,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,120,150,4.0,410.0,1640.0,3.75,6150
6,HSS5x5x1/4 Hollow Structural Section,ASTM A572 Grade 50,480,650,5.0,240.0,1200.0,3.25,3900
1,HSS8x8x1/2 Hollow Structural Section,ASTM A709 Grade 50,240,550,8.0,20.0,160.0,3.4375,550
33,L4x4x1/4 Angle,ASTM A588,120,60,4.0,330.0,1320.0,1.5,1980
14,L6x6x1/2 Angle,ASTM A36,480,320,6.0,560.0,3360.0,1.3333333333333333,4480
37,HSS5x5x1/4 Hollow Structural Section,ASTM A500 Grade C,120,180,5.0,370.0,1850.0,3.6,6660
13,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 60,480,720,6.0,520.0,3120.0,3.0,9360
5,W12x50 Wide Flange Beam,ASTM A572 Grade 50,120,350,50.0,50.0,2500.0,0.7,1750
2,HSS4x4x1/4 Hollow Structural Section,ASTM A588,240,280,4.0,40.0,160.0,3.5,560
3,C8x11.5 Channel,ASTM A500 Grade C,240,220,11.5,60.0,690.0,0.9565217391304348,660
18,HSS6x6x3/8 Hollow Structural Section,ASTM A992,240,380,6.0,360.0,2160.0,3.1666666666666665,6840
8,C10x15.3 Channel,ASTM A588,240,270,15.3,160.0,2448.0,0.8823529411764706,2160
34,L6x6x1/2 Angle,ASTM A709 Grade 50,120,80,6.0,340.0,2040.0,1.3333333333333333,2720
33,W10x30 Wide Flange Beam,ASTM A500 Grade C,240,750,30.0,660.0,19800.0,1.25,24750
35,L6x6x1/2 Angle,ASTM A992,120,80,6.0,350.0,2100.0,1.3333333333333333,2800
37,W6x12 Wide Flange Beam,ASTM A500 Grade C,240,320,12.0,740.0,8880.0,1.3333333333333333,11840
35,HSS8x8x1/2 Hollow Structural Section,ASTM A500 Grade B,120,300,8.0,350.0,2800.0,3.75,10500
27,L3x3x1/4 Angle,ASTM A572 Grade 60,120,40,3.0,270.0,810.0,1.3333333333333333,1080
45,W12x50 Wide Flange Beam,ASTM A572 Grade 50,120,350,50.0,450.0,22500.0,0.7,15750
34,C10x25 Channel,ASTM A572 Grade 50,240,250,25.0,680.0,17000.0,0.5,8500
15,L4x4x1/4 Angle,ASTM A572 Grade 60,480,240,4.0,600.0,2400.0,1.5,3600
2,W6x12 Wide Flange Beam,ASTM A709 Grade 50,120,180,12.0,20.0,240.0,1.5,360
36,C4x7.5 Channel,ASTM A500 Grade C,120,90,7.5,360.0,2700.0,1.2,3240
29,C8x11.5 Channel,ASTM A572 Grade 60,240,220,11.5,580.0,6670.0,0.9565217391304348,6380
5,W8x18 Wide Flange Beam,ASTM A572 Grade 50,480,650,18.0,200.0,3600.0,0.9027777777777778,3250
1,C8x11.5 Channel,ASTM A588,240,220,11.5,20.0,230.0,0.9565217391304348,220
8,L6x6x1/2 Angle,ASTM A500 Grade B,120,80,6.0,80.0,480.0,1.3333333333333333,640
32,W14x30 Wide Flange Beam,ASTM A709 Grade 50,240,650,30.0,640.0,19200.0,1.0833333333333333,20800
9,HSS5x5x1/4 Hollow Structural Section,ASTM A588,240,350,5.0,180.0,900.0,3.5,3150
21,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,240,280,4.0,420.0,1680.0,3.5,5880
50,W6x12 Wide Flange Beam,ASTM A500 Grade B,120,180,12.0,500.0,6000.0,1.5,9000
22,C4x7.5 Channel,ASTM A500 Grade B,480,300,7.5,880.0,6600.0,1.0,6600
46,L6x6x1/2 Angle,ASTM A572 Grade 60,240,160,6.0,920.0,5520.0,1.3333333333333333,7360
33,W10x30 Wide Flange Beam,ASTM A500 Grade B,240,750,30.0,660.0,19800.0,1.25,24750
26,L8x8x3/8 Angle,ASTM A588,120,100,8.0,260.0,2080.0,1.25,2600
3,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,120,200,6.0,30.0,180.0,3.3333333333333335,600
12,C8x11.5 Channel,ASTM A992,480,400,11.5,480.0,5520.0,0.8695652173913043,4800
9,W8x18 Wide Flange Beam,ASTM A36,480,650,18.0,360.0,6480.0,0.9027777777777778,5850
49,C8x18 Channel,ASTM A500 Grade C,480,400,18.0,1960.0,35280.0,0.5555555555555556,19600
21,W6x12 Wide Flange Beam,ASTM A500 Grade C,480,600,12.0,840.0,10080.0,1.25,12600
40,C4x7.5 Channel,ASTM A992,120,90,7.5,400.0,3000.0,1.2,3600
47,L4x4x1/4 Angle,ASTM A588,240,120,4.0,940.0,3760.0,1.5,5640
28,W6x12 Wide Flange Beam,ASTM A500 Grade B,480,600,12.0,1120.0,13440.0,1.25,16800
30,W10x22 Wide Flange Beam,ASTM A572 Grade 50,120,250,22.0,300.0,6600.0,1.1363636363636365,7500
14,C10x15.3 Channel,ASTM A572 Grade 50,120,150,15.3,140.0,2142.0,0.9803921568627451,2100
23,HSS8x8x1/2 Hollow Structural Section,ASTM A992,240,550,8.0,460.0,3680.0,3.4375,12650
49,W10x22 Wide Flange Beam,ASTM A572 Grade 60,120,250,22.0,490.0,10780.0,1.1363636363636365,12250
39,HSS8x8x1/2 Hollow Structural Section,ASTM A588,480,1000,8.0,1560.0,12480.0,3.125,39000
46,C8x18 Channel,ASTM A588,240,210,18.0,920.0,16560.0,0.5833333333333334,9660
12,C10x25 Channel,ASTM A572 Grade 60,480,470,25.0,480.0,12000.0,0.47,5640
14,W6x12 Wide Flange Beam,ASTM A572 Grade 50,480,600,12.0,560.0,6720.0,1.25,8400
44,L3x3x1/4 Angle,ASTM A992,480,160,3.0,1760.0,5280.0,1.3333333333333333,7040
24,HSS8x8x1/2 Hollow Structural Section,ASTM A709 Grade 50,480,1000,8.0,960.0,7680.0,3.125,24000
13,L6x6x1/2 Angle,ASTM A36,480,320,6.0,520.0,3120.0,1.3333333333333333,4160
17,L8x8x3/8 Angle,ASTM A588,480,380,8.0,680.0,5440.0,1.1875,6460
10,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,480,540,4.0,400.0,1600.0,3.375,5400
50,HSS8x8x1/2 Hollow Structural Section,ASTM A500 Grade B,480,1000,8.0,2000.0,16000.0,3.125,50000
30,C10x25 Channel,ASTM A36,120,130,25.0,300.0,7500.0,0.52,3900
10,L6x6x1/2 Angle,ASTM A572 Grade 60,120,80,6.0,100.0,600.0,1.3333333333333333,800
43,L8x8x3/8 Angle,ASTM A572 Grade 60,120,100,8.0,430.0,3440.0,1.25,4300
22,W10x30 Wide Flange Beam,ASTM A572 Grade 60,120,400,30.0,220.0,6600.0,1.3333333333333333,8800
25,L8x8x3/8 Angle,ASTM A500 Grade B,120,100,8.0,250.0,2000.0,1.25,2500
21,W6x12 Wide Flange Beam,ASTM A500 Grade B,480,600,12.0,840.0,10080.0,1.25,12600
